,Location,ReportedYear,crime_count,longitude,latitude
74,1000 W ATKINSON AV,2018,1,-87.923613,43.084095
75,1000 W ATKINSON AV,2022,1,-87.923613,43.084095
76,1000 W BURLEIGH ST,2016,1,-87.92395034943995,43.07508405
77,1000 W BURLEIGH ST,2017,1,-87.92395034943995,43.07508405
78,1000 W BURLEIGH ST,2018,2,-87.92395034943995,43.07508405
79,1000 W BURLEIGH ST,2019,1,-87.92395034943995,43.07508405
80,1000 W BURLEIGH ST,2020,2,-87.92395034943995,43.07508405
81,1000 W CENTER ST,2017,1,-117.926557,33.832479
82,1000 W CENTER ST,2021,1,-117.926557,33.832479
83,1000 W CHAMBERS ST,2016,1,-87.924119,43.073184
84,1000 W HIGHLAND AV,2016,1,-112.08573651172063,33.50585462316477
85,1000 W HIGHLAND AV,2019,1,-112.08573651172063,33.50585462316477
86,1000 W HIGHLAND AV,2020,1,-112.08573651172063,33.50585462316477
87,1000 W HIGHLAND AV,2022,2,-112.08573651172063,33.50585462316477
88,1000 W LOCUST ST,2017,1,-76.7481501,39.9519774
89,1000 W LOCUST ST,2019,1,-76.7481501,39.9519774
90,1000 W LOCUST ST,2020,1,-76.7481501,39.9519774
91,1000 W LOCUST ST,2021,1,-76.7481501,39.9519774
92,1000 W MC KINLEY AV,2016,2,-87.9942297,39.3076206
93,1000 W MC KINLEY AV,2018,1,-87.9942297,39.3076206
94,1000 W MC KINLEY AV,2021,1,-87.9942297,39.3076206
95,1000 W RING ST,2016,2,-87.923874,43.077742
96,1000 W STATE ST,2017,1,-88.31710923076923,41.889066769230766
97,1000 W STATE ST,2021,1,-88.31710923076923,41.889066769230766
98,1000 W WINNEBAGO ST,2016,1,-87.924099,43.047799
99,1000 W WINNEBAGO ST,2019,5,-87.924099,43.047799
100,1000 W WINNEBAGO ST,2020,1,-87.924099,43.047799
101,1000 W WINNEBAGO ST,2021,1,-87.924099,43.047799
102,1000 W WINNEBAGO ST,2022,7,-87.924099,43.047799
103,1000 W WISCONSIN AV,2016,1,-87.925594,43.038806
104,1000 W WISCONSIN AV,2019,2,-87.925594,43.038806
105,1000 W WISCONSIN AV,2022,1,-87.925594,43.038806
106,1001 E NORTH AV,2017,1,-87.89900279980941,43.060063799999995
107,1001 E NORTH AV,2019,1,-87.89900279980941,43.060063799999995
108,1001 E NORTH AV,2020,1,-87.89900279980941,43.060063799999995
109,1001 E STATE ST,2016,1,-74.7430689,40.2247878
110,1001 E STATE ST,2022,1,-74.7430689,40.2247878
111,1001 N 9TH ST,2016,1,-122.4624468364094,47.2644957
112,1001 N MILWAUKEE ST,2016,1,-116.285736,43.6140865
113,1001 N OLD WORLD THIRD ST,2016,1,-87.9146544,43.0430615
114,1001 N OLD WORLD THIRD ST,2021,3,-87.9146544,43.0430615
115,1001 N OLD WORLD THIRD ST,2022,1,-87.9146544,43.0430615
116,1001 W MC KINLEY AV,2016,1,-87.9942297,39.3076206
117,1001 W MC KINLEY AV,2021,1,-87.9942297,39.3076206
118,1001 W MC KINLEY AV,2022,1,-87.9942297,39.3076206
119,1003 N WATER ST,2017,2,-97.3929809546453,27.800876164155525
120,1003 W ATKINSON AV,2017,1,-87.92386037540851,43.08372835
121,1003 W ATKINSON AV,2019,4,-87.92386037540851,43.08372835
122,1003 W ATKINSON AV,2020,2,-87.92386037540851,43.08372835
123,1003 W ATKINSON AV,2021,3,-87.92386037540851,43.08372835
124,1003 W ATKINSON AV,2022,2,-87.92386037540851,43.08372835
125,1003 W ATKINSON AV #1,2016,1,-0.11948539526544705,50.958462396790594
126,1003 W ATKINSON AV #1,2017,1,-0.11948539526544705,50.958462396790594
127,1004 E BRADY ST,2016,2,-87.89933060200873,43.053151
128,1004 E BRADY ST,2021,1,-87.89933060200873,43.053151
129,1004 E CLARKE ST,2017,2,-87.8988941,43.0658133
130,1004 E OGDEN AV,2017,1,-87.8994671,43.0482717
131,1004 E PLEASANT ST,2017,1,-87.89936871203398,43.05072835
132,1004 E PLEASANT ST,2018,1,-87.89936871203398,43.05072835
133,1004 E PLEASANT ST,2019,1,-87.89936871203398,43.05072835
134,1004 E PLEASANT ST,2021,3,-87.89936871203398,43.05072835
135,1004 E PLEASANT ST,2022,2,-87.89936871203398,43.05072835
136,1005 E KEWAUNEE ST,2016,1,-87.89941630637915,43.05165963803395
137,1005 E KEWAUNEE ST,2022,1,-87.89941630637915,43.05165963803395
138,1005 E LAND PL,2016,1,-87.89921420495399,43.05506259422285
139,1005 N 9TH ST,2017,1,-122.4625136677966,47.264384
140,1005 N EDISON ST,2017,1,-87.91227089165562,43.04331330366881
141,1005 N EDISON ST,2018,1,-87.91227089165562,43.04331330366881
142,1005 N EDISON ST,2019,6,-87.91227089165562,43.04331330366881
143,1005 N EDISON ST,2020,4,-87.91227089165562,43.04331330366881
144,1005 N EDISON ST,2021,2,-87.91227089165562,43.04331330366881
145,1005 N EDISON ST,2022,2,-87.91227089165562,43.04331330366881
146,1006 E TOWNSEND ST,2016,1,-87.89858778692218,43.07998325
147,1006 E TOWNSEND ST,2017,1,-87.89858778692218,43.07998325
148,1006 N 6TH ST,2016,1,-90.18791542594201,38.634088132855965
149,1006 N 8TH ST,2017,1,-89.64442417360382,39.8129652
150,1006 N EDISON ST,2016,1,-87.91205120637453,43.04335366685278
151,1006 N EDISON ST,2018,2,-87.91205120637453,43.04335366685278
152,1006 W HADLEY ST,2016,1,-87.92429934832546,43.0696687
153,1007 E GARFIELD AV,2016,1,-87.89920104836652,43.058820749999995
154,1007 E GARFIELD AV,2021,1,-87.89920104836652,43.058820749999995
155,1007 E HADLEY ST,2017,1,-112.06042469387755,33.43875324489796
156,1007 E HADLEY ST,2019,1,-112.06042469387755,33.43875324489796
157,1007 E MEINECKE AV,2017,1,-87.89897528571429,43.06193
158,1007 E NORTH AV,2016,1,-87.8989261,43.0601029
159,1007 E NORTH AV,2018,1,-87.8989261,43.0601029
160,1007 E NORTH AV,2020,1,-87.8989261,43.0601029
161,1007 E NORTH AV #LWR,2016,1,151.21277565,-33.81883755
162,1007 E STATE ST,2016,1,-76.48154341763848,42.4343911
163,1007 N CASS ST,2016,8,-94.346682,32.770273
164,1007 N CASS ST,2017,4,-94.346682,32.770273
165,1007 N CASS ST,2018,2,-94.346682,32.770273
166,1007 N CASS ST,2019,1,-94.346682,32.770273
167,1007 N CASS ST,2020,2,-94.346682,32.770273
168,1007 N CASS ST,2021,9,-94.346682,32.770273
169,1007 N CASS ST,2022,9,-94.346682,32.770273
170,1007 N OLD WORLD THIRD ST,2017,3,-87.91478469624874,43.04315915
171,1007 N OLD WORLD THIRD ST,2018,3,-87.91478469624874,43.04315915
172,1007 N OLD WORLD THIRD ST,2019,1,-87.91478469624874,43.04315915
173,1007 N OLD WORLD THIRD ST,2020,1,-87.91478469624874,43.04315915
174,1007 N OLD WORLD THIRD ST,2022,1,-87.91478469624874,43.04315915
175,1007 W CAPITOL DR,2016,1,-87.92362897992251,43.08909545
176,1007 W CAPITOL DR,2022,2,-87.92362897992251,43.08909545
177,1008 N EDISON ST,2017,2,-87.91205427516604,43.04337622247037
178,1008 W BURLEIGH ST,2017,1,-87.92417177956256,43.075058850000005
179,1008 W BURLEIGH ST,2020,1,-87.92417177956256,43.075058850000005
180,1008 W CENTER ST,2016,2,-78.4042902815452,43.2210417
181,1008 W NASH ST,2016,2,-87.9239248747122,43.0846077
182,1008 W NASH ST,2017,1,-87.9239248747122,43.0846077
183,1008 W NASH ST,2021,1,-87.9239248747122,43.0846077
184,1008 W NASH ST,2022,2,-87.9239248747122,43.0846077
185,1009 E WRIGHT ST,2017,1,-87.89879747504236,43.06365975
186,1009 E WRIGHT ST,2020,2,-87.89879747504236,43.06365975
187,1009 N JACKSON ST,2016,2,-117.91582675000001,33.75387245
188,1009 N JACKSON ST,2017,4,-117.91582675000001,33.75387245
189,1009 N JACKSON ST,2018,4,-117.91582675000001,33.75387245
190,1009 N JACKSON ST,2019,3,-117.91582675000001,33.75387245
191,1009 N JACKSON ST,2020,3,-117.91582675000001,33.75387245
192,1009 N JACKSON ST,2021,2,-117.91582675000001,33.75387245
193,1009 N JACKSON ST,2022,8,-117.91582675000001,33.75387245
194,1009 N OLD WORLD THIRD ST,2016,2,-87.9146116,43.0432167
195,1009 N OLD WORLD THIRD ST,2017,1,-87.9146116,43.0432167
196,1009 N OLD WORLD THIRD ST,2018,2,-87.9146116,43.0432167
197,1009 N OLD WORLD THIRD ST,2022,1,-87.9146116,43.0432167
198,101 E MEINECKE AV,2017,1,-87.910965,43.062012
199,101 E PLEASANT ST,2017,1,-75.9802031,43.0028082
200,101 E PLEASANT ST,2019,1,-75.9802031,43.0028082
201,101 E WISCONSIN AV,2017,1,-87.909593,43.038487
202,101 N JACKSON ST,2017,1,-92.6805823,43.0673506
203,101 S BARCLAY ST,2017,1,-87.909756,43.030247
204,101 W CAPITOL DR,2017,1,-87.91116733316306,43.08888435
205,101 W CHERRY ST,2017,2,-87.9123195,43.0491871
206,101 W CLYBOURN ST,2016,1,-87.9100158,43.0360447
207,101 W MICHIGAN ST,2017,2,-87.9102621,43.0372621
208,101 W MICHIGAN ST,2018,1,-87.9102621,43.0372621
209,101 W MICHIGAN ST,2019,1,-87.9102621,43.0372621
210,101 W OREGON ST,2016,1,-87.911396,43.028305
211,101 W OREGON ST,2017,1,-87.911396,43.028305
212,101 W PLEASANT ST,2016,2,-87.9119207,43.0517265
213,101 W PLEASANT ST,2018,1,-87.9119207,43.0517265
214,101 W PLEASANT ST,2021,4,-87.9119207,43.0517265
215,101 W PLEASANT ST,2022,1,-87.9119207,43.0517265
216,101 W WISCONSIN AV,2016,2,-87.9106278,43.0375873
217,101 W WISCONSIN AV,2017,8,-87.9106278,43.0375873
218,101 W WISCONSIN AV,2018,9,-87.9106278,43.0375873
219,101 W WISCONSIN AV,2019,3,-87.9106278,43.0375873
220,101 W WISCONSIN AV,2020,3,-87.9106278,43.0375873
221,101 W WISCONSIN AV,2021,7,-87.9106278,43.0375873
222,101 W WISCONSIN AV,2022,15,-87.9106278,43.0375873
223,101 W WISCONSIN AV #150,2017,1,48.1775195,28.8909548
224,1010 E BRADY ST,2016,1,-87.89919154703824,43.0531891
225,1010 E BRADY ST,2018,1,-87.89919154703824,43.0531891
226,1010 E BRADY ST,2021,1,-87.89919154703824,43.0531891
227,1010 E CENTER ST,2016,1,-87.89876785078567,43.06783365
228,1010 E CLARKE ST,2017,1,-87.8987839858095,43.065820650000006
229,1010 E CLARKE ST,2018,1,-87.8987839858095,43.065820650000006
230,1010 E CLARKE ST,2020,2,-87.8987839858095,43.065820650000006
231,1010 N 6TH ST,2016,1,-116.19494549999999,43.6235105
232,1010 N EDISON ST,2016,3,-87.91205734395756,43.04339877808797
233,1010 N EDISON ST,2017,1,-87.91205734395756,43.04339877808797
234,1010 N EDISON ST,2018,1,-87.91205734395756,43.04339877808797
235,1010 N EDISON ST,2022,1,-87.91205734395756,43.04339877808797
236,1010 N LINCOLN MEMORIAL DR,2016,2,-87.89399757511619,43.046841399131324
237,1010 N LINCOLN MEMORIAL DR,2017,2,-87.89399757511619,43.046841399131324
238,1010 N LINCOLN MEMORIAL DR,2018,2,-87.89399757511619,43.046841399131324
239,1010 N LINCOLN MEMORIAL DR,2020,1,-87.89399757511619,43.046841399131324
240,1010 N LINCOLN MEMORIAL DR,2021,1,-87.89399757511619,43.046841399131324
241,1010 N LINCOLN MEMORIAL DR,2022,1,-87.89399757511619,43.046841399131324
242,1010 N VAN BUREN ST,2016,1,-87.9032116,43.0441821
243,1010 N VAN BUREN ST,2018,1,-87.9032116,43.0441821
244,1010 N VAN BUREN ST,2021,2,-87.9032116,43.0441821
245,1010 N VAN BUREN ST,2022,2,-87.9032116,43.0441821
246,1010 N WATER ST,2017,2,-87.91022406583411,43.0440936
247,1010 W KEEFE AV,2017,1,-87.92400161092604,43.081836749999994
248,1011 E BRADY ST,2017,1,-87.89924790861285,43.052780999999996
249,1011 E BRADY ST,2019,1,-87.89924790861285,43.052780999999996
250,1011 E BRADY ST,2020,1,-87.89924790861285,43.052780999999996
251,1011 E BRADY ST,2021,2,-87.89924790861285,43.052780999999996
252,1011 E HAMILTON ST,2016,1,-87.89902955,43.0542582
253,1011 E WRIGHT ST,2016,1,-87.89879747504236,43.06365975
254,1011 E WRIGHT ST,2017,2,-87.89879747504236,43.06365975
255,1011 N 9TH ST,2016,1,-94.1263021,36.3443356
256,1011 N ASTOR ST,2016,1,-87.899644,43.044163
257,1011 N ASTOR ST,2018,1,-87.899644,43.044163
258,1011 W SOMERS ST,2017,1,-87.9237878,43.0488773
259,1011 W SOMERS ST,2019,1,-87.9237878,43.0488773
260,1011 W SOMERS ST,2021,2,-87.9237878,43.0488773
261,1012 E WRIGHT ST,2016,1,-87.89871185,43.06402705
262,1012 E WRIGHT ST,2020,1,-87.89871185,43.06402705
263,1012 W KEEFE AV,2017,2,-87.92389637003099,43.08173927315168
264,1013 E CENTER ST,2017,1,-87.89865744920394,43.067271149999996
265,1013 E KEEFE AV,2016,1,-87.89831480092067,43.08177825
266,1014 E CHAMBERS ST,2016,1,-87.8987476074632,43.073802
267,1014 E CHAMBERS ST,2018,2,-87.8987476074632,43.073802
268,1014 E CHAMBERS ST,2020,2,-87.8987476074632,43.073802
269,1014 E HAMILTON ST,2017,1,-87.89891868703704,43.0546065
270,1014 E HAMILTON ST,2022,1,-87.89891868703704,43.0546065
271,1014 E VIENNA AV,2016,2,-87.89788297587253,43.0859366
272,1014 E VIENNA AV,2021,1,-87.89788297587253,43.0859366
273,1014 N ASTOR ST,2016,1,-87.89930216833713,43.04456255
274,1014 N ASTOR ST,2017,1,-87.89930216833713,43.04456255
275,1014 N ASTOR ST,2019,4,-87.89930216833713,43.04456255
276,1014 N VAN BUREN ST,2017,2,-87.9032124,43.04419
277,1014 N VAN BUREN ST,2020,2,-87.9032124,43.04419
278,1014 N VAN BUREN ST,2022,1,-87.9032124,43.04419
279,1015 E LOCUST ST,2017,1,-87.89861985075746,43.070895
280,1015 E LOCUST ST,2018,1,-87.89861985075746,43.070895
281,1015 E WRIGHT ST,2016,1,-101.46641263123627,36.68860535
282,1015 E WRIGHT ST,2017,1,-101.46641263123627,36.68860535
283,1015 E WRIGHT ST,2019,1,-101.46641263123627,36.68860535
284,1015 E WRIGHT ST,2020,1,-101.46641263123627,36.68860535
285,1015 N 10TH ST,2016,10,-87.92482175311078,43.04369585
286,1015 N 10TH ST,2017,8,-87.92482175311078,43.04369585
287,1015 N 10TH ST,2018,13,-87.92482175311078,43.04369585
288,1015 N 10TH ST,2019,14,-87.92482175311078,43.04369585
289,1015 N 10TH ST,2020,7,-87.92482175311078,43.04369585
290,1015 N 10TH ST,2021,5,-87.92482175311078,43.04369585
291,1015 N 10TH ST,2022,14,-87.92482175311078,43.04369585
292,1015 N 6TH ST,2016,4,-121.89996016101739,37.35798055
293,1015 N 6TH ST,2017,3,-121.89996016101739,37.35798055
294,1015 N 6TH ST,2018,3,-121.89996016101739,37.35798055
295,1015 N 6TH ST,2019,6,-121.89996016101739,37.35798055
296,1015 N 6TH ST,2020,3,-121.89996016101739,37.35798055
297,1015 N 6TH ST,2021,2,-121.89996016101739,37.35798055
298,1015 N 6TH ST,2022,2,-121.89996016101739,37.35798055
299,1015 N 8TH ST,2016,1,-116.19791142517703,43.62365825
300,1015 N 8TH ST,2021,1,-116.19791142517703,43.62365825
301,1015 N 9TH ST,2016,3,-116.19904550000001,43.6236775
302,1015 N 9TH ST,2017,1,-116.19904550000001,43.6236775
303,1015 N 9TH ST,2018,2,-116.19904550000001,43.6236775
304,1015 N 9TH ST,2019,2,-116.19904550000001,43.6236775
305,1015 N 9TH ST,2021,1,-116.19904550000001,43.6236775
306,1015 N EDISON ST,2017,1,-87.91228562519584,43.04342156223987
307,1015 N EDISON ST,2021,2,-87.91228562519584,43.04342156223987
308,1015 W BURLEIGH ST,2017,2,-87.92447144001048,43.0746813
309,1015 W BURLEIGH ST,2021,1,-87.92447144001048,43.0746813
310,1015 W HIGHLAND AV,2016,1,-117.18283686485299,34.034835650000005
311,1016 W HADLEY ST,2017,1,-112.08591902104386,33.43892322959467
312,1016 W KEEFE AV,2016,1,-87.92422554118679,43.08184085
313,1017 E LYON ST,2017,1,-87.8990166,43.0491931
314,1018 E KNAPP ST,2016,2,-87.8989638064507,43.04727145
315,1018 E KNAPP ST,2017,5,-87.8989638064507,43.04727145
316,1018 E KNAPP ST,2020,4,-87.8989638064507,43.04727145
317,1018 E KNAPP ST,2021,4,-87.8989638064507,43.04727145
318,1018 E KNAPP ST,2022,1,-87.8989638064507,43.04727145
319,1018 E WRIGHT ST,2017,1,-87.8985008,43.0639331
320,1018 W BURLEIGH ST,2016,1,-87.92444791119257,43.0750937
321,1018 W BURLEIGH ST,2017,2,-87.92444791119257,43.0750937
322,1019 N OLD WORLD THIRD ST,2016,2,-87.91489554927226,43.043375499999996
323,1019 N OLD WORLD THIRD ST,2017,1,-87.91489554927226,43.043375499999996
324,1019 N OLD WORLD THIRD ST,2018,2,-87.91489554927226,43.043375499999996
325,1019 N OLD WORLD THIRD ST,2019,1,-87.91489554927226,43.043375499999996
326,1019 N OLD WORLD THIRD ST,2020,1,-87.91489554927226,43.043375499999996
327,1019 N OLD WORLD THIRD ST,2022,2,-87.91489554927226,43.043375499999996
328,1019 W BURLEIGH ST,2017,1,-87.92458800415612,43.0747119
329,1019 W BURLEIGH ST,2019,2,-87.92458800415612,43.0747119
330,102 N JEFFERSON ST,2017,1,-80.34676637359544,41.001595249999994
331,102 N WATER ST,2016,1,-87.9094795,43.0314867
332,102 N WATER ST,2018,2,-87.9094795,43.0314867
333,102 N WATER ST,2020,2,-87.9094795,43.0314867
334,102 N WATER ST,2022,3,-87.9094795,43.0314867
335,102 W AUER AV,2017,1,-87.91117537501641,43.0764792
336,102 W CAPITOL DR,2016,2,-87.91091848328841,43.09016765
337,102 W CAPITOL DR,2017,3,-87.91091848328841,43.09016765
338,102 W CAPITOL DR,2018,1,-87.91091848328841,43.09016765
339,102 W CAPITOL DR,2022,1,-87.91091848328841,43.09016765
340,102 W CONCORDIA AV,2017,1,-87.9110648,43.0786976
341,1020 E BRADY ST,2016,1,-87.8989152366515,43.053174150000004
342,1020 E BRADY ST,2021,1,-87.8989152366515,43.053174150000004
343,1020 E KEWAUNEE ST,2016,1,-87.89892539738807,43.05216065
344,1020 E KEWAUNEE ST,2019,2,-87.89892539738807,43.05216065
345,1020 E LOCUST ST,2017,1,-87.8981790202642,43.07156945
346,1020 E LOCUST ST,2020,2,-87.8981790202642,43.07156945
347,1020 E LYON ST,2016,4,-87.89895575,43.0496435
348,1020 E LYON ST,2017,1,-87.89895575,43.0496435
349,1020 E LYON ST,2019,1,-87.89895575,43.0496435
350,1020 E LYON ST,2022,2,-87.89895575,43.0496435
351,1020 E OGDEN AV,2017,1,-87.8989496,43.0482728
352,1020 E PLEASANT ST,2016,1,-87.89893617386923,43.05082945
353,1020 E PLEASANT ST,2018,3,-87.89893617386923,43.05082945
354,1020 E PLEASANT ST,2019,1,-87.89893617386923,43.05082945
355,1020 E PLEASANT ST,2020,2,-87.89893617386923,43.05082945
356,1020 E PLEASANT ST,2021,5,-87.89893617386923,43.05082945
357,1020 E PLEASANT ST,2022,3,-87.89893617386923,43.05082945
358,1020 N 6TH ST,2016,1,-121.8995793,37.358343
359,1020 N 6TH ST,2022,1,-121.8995793,37.358343
360,1020 N BROADWAY,2017,1,-76.59485284628197,39.302408650000004
361,1020 N BROADWAY,2018,1,-76.59485284628197,39.302408650000004
362,1020 N BROADWAY,2020,1,-76.59485284628197,39.302408650000004
363,1020 N BROADWAY,2021,1,-76.59485284628197,39.302408650000004
364,1020 N BROADWAY,2022,7,-76.59485284628197,39.302408650000004
365,1020 W BURLEIGH ST,2016,1,-87.92444791119257,43.0750937
366,1020 W BURLEIGH ST,2019,1,-87.92444791119257,43.0750937
367,1020 W HADLEY ST,2016,1,-87.92474358097775,43.0696163
368,1020 W HIGHLAND AV,2017,1,-117.18351429372822,34.035305
369,1020 W STATE ST,2017,1,-88.31720285714286,41.889080285714286
370,1021 E BRADY ST,2017,1,-87.8988382,43.0528499
371,1021 E PEARSON ST,2017,1,-87.89876065022025,43.05350475
372,1021 E PEARSON ST,2020,1,-87.89876065022025,43.05350475
373,1021 N OLD WORLD THIRD ST,2017,2,-87.91489001897934,43.0434551
374,1021 N OLD WORLD THIRD ST,2019,1,-87.91489001897934,43.0434551
375,1021 N OLD WORLD THIRD ST,2022,2,-87.91489001897934,43.0434551
376,1021 W ATKINSON AV,2016,1,-87.924064,43.0841
377,1021 W CONCORDIA AV,2016,1,-87.92402665078913,43.07884084966811
378,1021 W KEEFE AV,2016,1,-87.92397060985834,43.08157585628806
379,1022 E CENTER ST,2017,1,-87.8984212438503,43.06764465
380,1022 E CENTER ST,2018,1,-87.8984212438503,43.06764465
381,1022 E CENTER ST,2022,1,-87.8984212438503,43.06764465
382,1022 E HAMILTON ST,2016,1,-87.89904644721689,43.05450038191559
383,1023 N OLD WORLD THIRD ST,2016,1,-87.9148819,43.0435364
384,1023 N OLD WORLD THIRD ST,2017,3,-87.9148819,43.0435364
385,1023 N OLD WORLD THIRD ST,2018,2,-87.9148819,43.0435364
386,1023 N OLD WORLD THIRD ST,2019,3,-87.9148819,43.0435364
387,1024 N JACKSON ST,2017,1,-92.32892546945047,34.76080216178677
388,1024 W HADLEY ST,2017,1,-87.92485369295481,43.06963295
389,1025 E GARFIELD AV,2016,1,-87.89897640816326,43.058936
390,1025 E LYON ST,2016,1,-87.898905,43.0491922
391,1025 E LYON ST,2021,1,-87.898905,43.0491922
392,1025 E STATE ST,2017,1,-76.4802329,42.4335119
393,1025 N 8TH ST,2016,1,-75.15017661073826,39.969023979865774
394,1025 N 8TH ST,2018,2,-75.15017661073826,39.969023979865774
395,1025 N 8TH ST,2020,1,-75.15017661073826,39.969023979865774
396,1025 N 8TH ST,2022,2,-75.15017661073826,39.969023979865774
397,1025 N BROADWAY,2016,5,-76.5941972664769,39.3025167
398,1025 N BROADWAY,2017,3,-76.5941972664769,39.3025167
399,1025 N BROADWAY,2018,2,-76.5941972664769,39.3025167
400,1025 N BROADWAY,2019,2,-76.5941972664769,39.3025167
401,1025 N BROADWAY,2021,5,-76.5941972664769,39.3025167
402,1025 N BROADWAY,2022,4,-76.5941972664769,39.3025167
403,1026 E CENTER ST,2016,1,-92.44922036443549,44.022998
404,1026 E LAND PL,2016,1,-87.898538,43.0552553
405,1026 E LAND PL,2017,1,-87.898538,43.0552553
406,1026 E LYON ST,2016,1,-87.89873414060578,43.04966435
407,1026 E LYON ST,2017,1,-87.89873414060578,43.04966435
408,1026 E LYON ST,2018,4,-87.89873414060578,43.04966435
409,1026 E LYON ST,2020,2,-87.89873414060578,43.04966435
410,1026 E LYON ST,2021,4,-87.89873414060578,43.04966435
411,1026 E LYON ST,2022,5,-87.89873414060578,43.04966435
